id,penalty,l1_ratio,alpha,max_iter,random_state,n_jobs,n_samples,n_features,n_classes,n_clusters_per_class,n_informative,flip_y,scale,time
23,none,0.18438998226164083,0.01,306,446,-1,704,611,10,5,8,0.025607122260768944,26.313838231426175,0.30861377716064453
24,l1,0.5011216536136293,0.0001,695,254,2,893,405,3,2,6,0.08439677229296458,90.24700006235216,3.1070635318756104
25,none,0.6276622009258644,0.001,871,499,1,173,468,6,3,9,0.047897247997283,52.69709212143285,0.5425331592559814
26,elasticnet,0.3245782630431623,0.001,973,987,2,426,245,7,3,9,0.042227339986699156,81.57823513341063,3.107123851776123
27,l2,0.8561946304196905,0.0001,763,834,4,584,130,6,4,11,0.08896351678170922,39.54142929964096,0.30266284942626953
28,none,0.24704260286445373,0.001,130,854,-1,1244,960,10,2,9,0.04282811077193123,19.313554114738263,0.307452917098999
29,none,0.634387545939685,0.01,846,531,2,409,1243,9,5,11,0.028190907986109383,56.159862698516385,2.7064526081085205
30,l2,0.8510890738622,0.001,362,610,-1,1052,973,9,2,10,0.028050896483092225,84.78298125161471,0.7103745937347412
31,l2,0.8216642094476111,0.001,161,978,2,621,1037,6,5,7,0.09814697547263092,67.65263264625281,0.4031496047973633
32,l2,0.6542838550567868,0.0001,944,678,4,151,835,3,4,9,0.021448468438189663,56.52769059834354,0.2023482322692871
33,l1,0.3257694510905947,0.001,420,390,4,1058,607,8,3,7,0.09658465355286139,32.414644129917825,3.708951234817505
34,none,0.7971493593977803,0.001,794,684,2,826,327,3,5,10,0.0645607231819216,71.06891425356851,0.8034977912902832
35,elasticnet,0.41555957089457973,0.001,639,205,2,418,768,4,4,8,0.028196963142578624,8.132057461027113,2.906409978866577
36,none,0.7404370989013533,0.01,735,524,2,1071,889,9,4,10,0.007839659801525468,38.66135658889757,5.011070013046265
37,none,0.3789600115834346,0.001,265,571,8,602,530,3,4,7,0.011067881120143975,61.64210878490057,0.20430803298950195
38,l1,0.8840075789107326,0.0001,944,502,2,1396,493,10,2,11,0.09174469185288535,61.538579868710414,22.135640382766724
39,none,0.6716039424758871,0.001,123,525,2,267,509,7,5,9,0.09063417498141625,78.0603863685386,0.1030123233795166
40,l1,0.24525508657003572,0.001,452,293,-1,1194,1028,8,2,8,0.0667047897988047,64.3545332196565,3.6164932250976562
41,elasticnet,0.12301806509370294,0.001,833,375,4,219,1309,5,4,9,0.024287178213052898,10.269576434759331,3.2080135345458984
42,l2,0.6675707781727888,0.001,976,842,8,1217,113,7,4,11,0.07200079964563826,43.58349769783685,0.5041821002960205
43,none,0.669810868816691,0.01,913,713,-1,329,806,3,3,7,0.06429757013824731,87.972304908502,0.40801453590393066
44,l2,0.8952199191980772,0.01,255,264,4,1064,627,7,4,8,0.0425560249806034,2.710736649877209,0.5038797855377197
45,l2,0.31950425004433114,0.001,420,434,2,1366,944,5,5,9,0.05688755102155586,92.74873644756782,2.107222318649292
46,elasticnet,0.44055626674393256,0.0001,480,139,2,1047,523,6,3,7,0.0410089248412041,34.274398784122624,6.312537670135498
47,elasticnet,0.7187414191134247,0.0001,335,233,2,952,1379,7,5,12,0.06935144384447438,5.965018567875392,12.423436164855957
48,elasticnet,0.5414965905671205,0.001,757,717,1,910,1059,5,2,10,0.028574633627662372,99.66447324821286,25.186214208602905
49,none,0.4496557843334914,0.0001,513,658,-1,107,154,10,2,7,0.08139442325341502,6.651352635978865,0.1069338321685791
50,l1,0.7695571806568671,0.0001,769,601,8,1152,233,8,2,11,0.022866477078510528,40.02270228329921,2.3074512481689453
51,elasticnet,0.5235378988965808,0.01,686,191,4,486,369,5,5,9,0.06909200940448465,99.1023199925683,1.805185317993164
52,l1,0.6611519079087187,0.0001,172,485,1,1284,826,6,3,7,0.0668817724868153,55.35308721584628,6.076055526733398
53,elasticnet,0.5207638153587055,0.001,397,670,2,497,770,2,5,10,0.07296265397572932,52.98487009901202,1.0489177703857422
54,elasticnet,0.16735354478384448,0.001,199,527,8,637,415,3,4,9,0.005147936700897338,55.198914969885536,0.5050563812255859
55,l1,0.1663316073858921,0.0001,735,216,1,1313,686,3,4,9,0.0033718580514147225,95.43242065712195,10.916383266448975
56,elasticnet,0.5373272297946595,0.01,939,533,-1,280,585,7,4,10,0.030784563183518122,96.31701636546454,1.3078649044036865
57,l2,0.5783712904045345,0.001,526,675,-1,476,481,8,4,12,0.09317310722412209,90.58993805310217,0.20750188827514648
58,none,0.13628286851694354,0.0001,727,543,4,1290,1048,7,3,7,0.0140836483861294,17.720839831322664,2.6082863807678223
59,none,0.3335926773800143,0.01,686,6,8,1039,431,4,4,10,0.02025869713173724,5.774012521822102,0.6050031185150146
60,none,0.533076731795474,0.001,758,454,8,1234,1252,4,3,10,0.01930982997985945,32.552637583657415,1.6086952686309814
61,none,0.6985907193837194,0.01,600,778,1,763,1394,2,4,10,0.010422641637534636,19.846280209093248,0.7831168174743652
62,l1,0.1458609365705768,0.0001,315,812,2,1157,459,4,3,9,0.09450055217448178,61.03125694502349,2.5060436725616455
63,l1,0.7800786390018786,0.0001,839,788,2,239,211,9,2,7,0.08420323918835816,80.18689157748123,1.5040998458862305
64,none,0.8476485957129611,0.01,560,206,1,1351,162,9,5,11,0.004227882502138425,64.22695031151193,1.9923043251037598
65,l1,0.7644241872872437,0.001,275,78,8,592,316,5,3,9,0.008014936131210394,95.61217465164502,0.40386176109313965
66,none,0.7959420991727629,0.001,401,801,1,663,1295,8,2,11,0.014647189940011707,39.99192763316262,3.3555126190185547
67,l2,0.4295011572021925,0.0001,924,439,4,388,707,3,5,10,0.08897883598458463,25.31745481932301,0.4037935733795166
68,l2,0.8844695832508869,0.01,370,137,8,517,1263,8,4,11,0.08232039900944621,79.59594836706216,0.4047586917877197
69,l2,0.7813580651461537,0.001,373,763,4,1273,339,2,5,8,0.0314742879338604,28.364548370344597,0.29621005058288574
70,none,0.722191940447987,0.001,764,493,8,664,1073,3,2,6,0.0699202045342529,68.18126302798855,0.705033540725708
71,l2,0.5733142239953207,0.01,274,744,2,733,262,4,3,8,0.09645148455233274,61.88778305300314,0.3022291660308838
72,l1,0.2897555425407708,0.01,270,324,1,1296,1264,5,2,10,0.07304949065061782,36.7815713675826,12.606068134307861
73,l2,0.6330553464338657,0.0001,212,528,1,545,1099,5,3,7,0.027015069109764325,5.081792131172312,0.7832143306732178
74,l2,0.8160960502041162,0.001,251,194,8,555,1121,4,4,7,0.02335571417277973,91.55558503433511,0.3048725128173828
75,l1,0.4384201286058843,0.0001,460,2,-1,1126,1155,5,3,9,0.04794221509282807,25.32395358951146,3.6176950931549072
76,elasticnet,0.16812692312121974,0.01,737,958,2,1050,809,8,4,10,0.0833761679380885,97.33345437445593,18.02988076210022
77,none,0.2259206739618292,0.001,797,646,1,819,543,4,2,8,0.02981575183841726,95.31878888064445,1.8070294857025146
78,l1,0.7158647246279053,0.01,423,651,1,869,311,4,2,6,0.039076710866044556,8.238954435884622,2.6755356788635254
79,l2,0.7243331252036573,0.001,689,724,1,469,980,3,2,8,0.02263022392509674,72.73738518081693,1.1693971157073975
80,l2,0.47023775527312817,0.0001,817,636,-1,977,281,5,3,9,0.0501818020544648,8.63276302675081,0.5089981555938721
81,elasticnet,0.6815313500801998,0.0001,803,484,4,727,695,9,3,10,0.027913600393896912,3.8096901978073943,8.816298007965088
82,elasticnet,0.719170987466786,0.01,765,588,2,716,1326,2,5,7,0.02515933612439395,36.203358160747555,4.876769542694092
83,elasticnet,0.6780894845426568,0.0001,247,245,4,229,947,9,4,9,0.0575133324697251,3.190432879054821,1.204249382019043
84,l1,0.20282012954449735,0.001,870,996,1,679,291,10,5,9,0.05332177781689062,50.37560775775348,10.150572299957275
85,none,0.5475678811273096,0.01,303,991,2,316,604,3,3,10,0.04378710609422018,44.34279013142905,0.20273900032043457
86,elasticnet,0.6144576809408471,0.0001,723,528,-1,622,655,2,5,10,0.010718198006165691,80.29550416028638,2.045994281768799
87,none,0.6602900766328983,0.0001,443,747,-1,366,1020,3,3,7,0.0168378620899626,77.61048893563425,0.3084378242492676
88,elasticnet,0.34774724227155823,0.01,749,842,4,1336,696,2,2,7,0.06903141453053022,31.870340200681664,3.9894206523895264
89,elasticnet,0.2164564782421996,0.01,816,481,2,178,187,10,2,11,0.06059616707965553,33.88345781618676,1.1040050983428955
90,none,0.41910316992862773,0.001,519,737,-1,956,586,9,4,11,0.06194852529370814,14.389723956116182,0.6093137264251709
91,none,0.2579260448134074,0.001,696,75,8,1261,877,3,3,9,0.0817309470791511,2.4385327669669503,1.1061985492706299
92,l1,0.5213275563571693,0.01,453,553,4,599,732,4,3,9,0.0608350860889583,21.20743820313216,1.304980754852295
93,l2,0.10783522353600371,0.0001,277,622,8,1118,478,5,5,9,0.005698099408123792,62.737518814793155,0.3040142059326172
94,elasticnet,0.796808239162756,0.001,738,565,4,141,1137,4,2,8,0.00047422143237767504,23.978284373015786,0.9035139083862305
95,none,0.3527926084115345,0.001,105,120,4,1057,1263,6,4,8,0.004817400208749856,42.038458863965005,0.40472888946533203
96,l1,0.6800409836931776,0.01,291,266,8,1283,1159,4,4,11,0.09058378040106348,26.438235058625487,2.8108086585998535
97,elasticnet,0.2507379302379513,0.01,674,1000,8,1220,729,6,2,6,0.0032990972865976076,85.98874629444364,4.412492513656616
98,l2,0.1938417667867386,0.01,277,955,8,619,280,5,2,7,0.04505320201662111,96.42851189119698,0.2041153907775879
99,elasticnet,0.2541408234553223,0.001,348,990,4,1150,300,4,5,8,0.09305782416639607,98.07395408103051,1.404977798461914
100,l1,0.7121113422597233,0.01,483,211,-1,1299,130,6,3,9,0.015476461706330569,94.52401720615589,1.1101112365722656
101,none,0.8369647116906359,0.01,392,170,4,1192,1195,8,5,8,0.06960539541802299,60.15583045313036,1.7092716693878174
102,elasticnet,0.5522681641945528,0.0001,105,230,-1,1063,922,10,5,8,0.021835744744154298,25.32858058236999,1.1138701438903809
103,l2,0.695610175164051,0.0001,832,973,-1,948,1299,8,2,9,0.012388354577656958,7.079640745360611,1.5111682415008545
104,l2,0.8359062968296559,0.01,982,214,4,581,605,6,5,10,0.031223133677859297,15.351909428968211,0.9041521549224854
105,l2,0.37144674470121763,0.001,875,752,8,784,650,5,3,9,0.03379542191710742,83.25792976800689,0.704808235168457
106,l2,0.6947105700080405,0.01,322,533,-1,1182,310,8,2,8,0.04645090476121019,13.392214468043795,0.3079860210418701
107,none,0.26593031257580857,0.0001,254,798,-1,641,952,6,4,11,0.008695687813015463,28.601442570854633,0.3062272071838379
108,l2,0.32578365733742676,0.01,555,631,-1,1285,1227,8,4,8,0.00803758476408114,66.71466471736042,1.3106327056884766
109,l2,0.6039255965318284,0.0001,462,179,4,328,1039,7,5,8,0.025783833679965864,70.11854639682109,0.40360188484191895
110,none,0.14159254724095893,0.001,794,196,4,972,516,3,3,7,0.09320505311446328,70.87900402502727,0.6036806106567383
111,l2,0.5424551003985583,0.01,478,675,4,252,483,2,4,8,0.002610211867030976,35.225683644161755,0.07534170150756836
112,none,0.6934076923540307,0.0001,316,728,4,707,300,2,4,8,0.009515852078830857,31.19279889348143,0.09172463417053223
113,l1,0.26605189371711724,0.01,638,695,4,444,149,5,3,8,0.013493280489573024,87.95687312175033,0.6031577587127686
114,elasticnet,0.6095512025522825,0.001,493,629,4,1105,637,2,3,6,0.015737663174637963,4.748500638214388,2.221226215362549
115,elasticnet,0.33534869042145476,0.001,895,157,8,752,1080,4,3,10,0.04794167360484371,84.18964004672155,5.61328911781311
116,none,0.15817688570499505,0.001,902,9,8,1194,480,7,4,8,0.05157171248318252,46.5083749337412,1.1058950424194336
117,elasticnet,0.8340401909975071,0.0001,224,697,8,1330,589,4,2,10,0.07248992827282057,32.81719608488261,1.5071134567260742
118,none,0.36438318264809744,0.01,820,155,4,1274,1318,7,4,10,0.038617116314076584,76.7695481399613,3.912236452102661
119,elasticnet,0.1049491339292068,0.0001,500,505,-1,1339,1047,7,3,11,0.07623611207873456,7.063580260680571,5.622286558151245
120,l1,0.8360163655301228,0.01,113,7,2,624,816,9,4,11,0.013258723570293719,88.27767317338736,1.7052292823791504
121,elasticnet,0.26348436983255996,0.01,112,664,4,1047,179,5,5,9,0.02041296464407203,59.35628169187531,0.4028890132904053
122,l1,0.3371130031732249,0.0001,444,539,8,719,118,10,5,12,0.09192012128462498,69.02926792326046,0.9043483734130859
123,l2,0.4190103259407313,0.001,907,868,4,1321,1026,3,2,5,0.01777848685993464,35.129438553055536,1.7074494361877441
124,elasticnet,0.7352769394323213,0.001,510,999,-1,281,343,4,2,8,0.059310243115288847,44.58926384769729,0.5090444087982178
125,elasticnet,0.405188893352746,0.0001,442,119,-1,578,1035,7,4,9,0.05684392226883268,35.76619802220891,2.212547540664673
126,elasticnet,0.8153791073838983,0.0001,957,532,1,1395,802,3,2,7,0.002301650560204449,79.58992667785326,22.321520566940308
127,elasticnet,0.40508938923757987,0.0001,122,792,4,497,1030,4,3,9,0.0587772050512989,14.292437861681254,0.5045254230499268
128,none,0.7006973175181508,0.0001,119,202,4,433,863,9,2,11,0.09626130119241998,4.7624436481111685,0.20279216766357422
129,l1,0.6968173363303647,0.0001,719,538,4,444,838,10,2,9,0.019043847532037552,68.37654533713794,4.8104331493377686
130,l2,0.25880806784071453,0.01,522,539,2,1275,883,4,2,7,0.011512891228157985,50.23796358923656,1.5058014392852783
131,l1,0.12837049469273165,0.01,452,55,4,256,1095,6,3,7,0.042865430980721625,66.76752624501208,1.5052189826965332
132,l2,0.4808896554154394,0.001,451,12,8,1231,262,6,2,10,0.034021235049915326,77.88936692994525,0.40491652488708496
133,elasticnet,0.2563330003826425,0.0001,334,368,4,873,1024,8,3,8,0.0732364142601657,56.14595972521085,4.510543346405029
134,l2,0.8339017698004697,0.0001,350,42,1,936,1397,5,2,8,0.07427856903219665,15.520710302371848,2.8975203037261963
135,l1,0.12520033669976255,0.0001,711,892,8,267,142,2,2,9,0.08400974351447925,88.03324146755453,0.15279865264892578
136,elasticnet,0.8311281496850275,0.001,592,769,1,191,805,8,3,7,0.02997324597153236,18.286377980854155,5.008789539337158
137,elasticnet,0.49128625871290266,0.01,707,127,8,1074,508,8,3,7,0.07910161127240986,20.879586300402302,3.209592342376709
138,elasticnet,0.703836507347481,0.01,600,381,4,1284,830,3,3,7,0.09583045881403164,14.23217095314143,4.411065578460693
139,l2,0.6120403869468257,0.01,552,180,-1,1172,756,2,3,8,0.04739655021636592,61.33570818537361,0.6213223934173584
140,elasticnet,0.6473433654917187,0.0001,934,582,-1,703,1190,2,5,8,0.012635685293174449,10.12294775778457,5.368126392364502
141,elasticnet,0.760179375160248,0.001,701,0,-1,881,997,9,3,8,0.023105979287870573,38.80710655767568,4.818053483963013
142,l1,0.5961669325409924,0.0001,464,924,1,1378,223,6,3,8,0.03714907049014589,50.74215838332683,6.450396299362183
143,l1,0.8561765294656309,0.001,446,13,8,837,414,3,3,6,0.012444655123030869,28.443144393782998,1.1059157848358154
144,l2,0.87581151241005,0.01,431,19,4,1256,761,2,3,7,0.09004000505540859,77.0460407786932,0.5288445949554443
145,l1,0.8841546810920161,0.01,190,192,4,194,1037,3,4,7,0.06906086446297414,11.037936037974202,0.3029060363769531
146,none,0.3105053708396982,0.0001,761,671,1,1021,1362,9,5,11,0.09794672020043126,98.85266974467682,11.715166091918945
147,l1,0.8244612312243246,0.0001,902,99,1,107,1384,8,5,8,0.01568210809097097,77.88234755465804,5.963968276977539
148,none,0.18641051921546872,0.001,286,740,4,321,861,10,2,9,0.09148767335931408,60.565714007600555,0.303084135055542
149,none,0.12416729864913378,0.0001,434,745,-1,1351,1020,3,3,9,0.011966248770899203,7.163308468360434,0.8112385272979736
150,l2,0.37946126282719284,0.01,511,919,-1,742,146,8,3,11,0.014524126069923616,74.946201458432,0.20758461952209473
151,elasticnet,0.6802725094117619,0.0001,326,600,1,128,572,5,2,10,0.05486076773667449,97.64149243840228,0.8356008529663086
152,elasticnet,0.3484600028279943,0.001,664,397,-1,476,548,6,5,11,0.04373877718496632,28.923969865478497,1.510129690170288
153,l2,0.41493716036251405,0.0001,953,74,2,385,545,8,2,10,0.06786767159664116,75.92954737719278,1.203916072845459
154,none,0.7765813224622513,0.0001,221,628,-1,536,655,10,5,9,0.019354151133846555,73.0633664588311,0.2071692943572998
155,none,0.6022795080343182,0.0001,476,641,-1,1311,1123,6,5,9,0.09946763078717959,19.85625979898286,0.9102890491485596
156,l1,0.29807791606074985,0.001,952,819,1,717,814,6,3,8,0.0835157090821635,15.582684248912416,18.201372385025024
157,l2,0.27532609611273096,0.01,454,778,2,999,458,7,3,10,0.08219949361089096,48.54848960561864,1.305962324142456
158,none,0.28694042139889997,0.001,778,282,4,553,1333,7,5,8,0.0345590492677882,61.61805388104495,1.4059817790985107
159,l1,0.6967468352361912,0.001,143,554,8,141,1226,2,2,8,0.05774673445699701,89.68216741384141,0.13934731483459473
160,none,0.4686887744820768,0.01,958,646,1,194,181,3,2,7,0.07428620605724594,60.8079847459875,0.1424884796142578
161,elasticnet,0.22178689402827603,0.01,640,964,4,485,857,4,5,10,0.08763354763024368,68.16235976720728,2.0057997703552246
162,l1,0.8720900849371241,0.01,352,558,2,1197,675,9,2,7,0.06407359069245791,56.94033004856058,8.816213369369507
163,none,0.4380623732022222,0.01,204,98,-1,166,803,6,4,7,0.005976656557488136,93.99294883827577,0.10828185081481934
164,none,0.6997546821124712,0.01,943,838,2,343,1195,8,3,9,0.018574091108678126,16.38882782161223,1.9051475524902344
165,l1,0.1996834274147611,0.0001,880,789,8,639,1191,9,3,11,0.09240495578715298,1.9123897101666616,7.415954828262329
166,l1,0.5253313526383535,0.01,898,874,4,338,1064,6,5,10,0.06869228439620877,69.81606228655866,3.8081507682800293
167,none,0.7056203574859268,0.01,900,878,4,184,1076,5,4,9,0.023849230202231387,9.769388229939905,0.5030546188354492
168,elasticnet,0.5071485494253326,0.0001,727,881,-1,663,900,10,3,9,0.04199537066854733,20.46776908196692,3.6182000637054443
169,l1,0.36182813608605646,0.01,948,732,1,271,1063,4,4,8,0.05031378137724033,12.866238094533166,5.927548408508301
170,elasticnet,0.5332208011519418,0.001,878,447,1,160,227,10,2,9,0.02178879091357925,3.4862425764836305,2.075516700744629
171,none,0.7848266080977478,0.01,726,559,1,1048,357,10,3,8,0.07611581092819773,14.776065066665549,4.705183267593384
172,l2,0.49044313122331307,0.01,732,871,1,299,1081,7,3,8,0.05165195743601847,38.23551592410368,2.028899669647217
173,elasticnet,0.2834518173072904,0.01,911,612,2,760,724,10,3,11,0.03339080103655114,53.70549240888034,16.92639994621277
174,l2,0.2334250399639246,0.01,780,810,4,1142,1079,10,3,11,0.020693493322421253,58.500415724978815,3.7097811698913574
175,none,0.8033988507110407,0.01,761,303,2,145,1318,4,2,9,0.045213328946626934,5.175807697339457,0.40271997451782227
176,l1,0.386435973088055,0.01,202,873,8,867,999,6,4,7,0.07497882988768294,42.4665302426875,1.2064356803894043
177,l1,0.4970700928878692,0.01,420,883,1,886,1213,5,3,9,0.09976021843432287,36.47172491204603,12.56846570968628
178,elasticnet,0.7683199314506907,0.0001,715,91,1,1107,757,8,2,10,0.07566912215851763,40.098272033749154,33.45044708251953
179,elasticnet,0.4757739372841757,0.0001,414,872,2,1017,872,7,5,8,0.07886476703433491,23.153473483287012,10.519328832626343
180,elasticnet,0.40702608645777083,0.001,147,299,4,543,1039,10,5,12,0.05750018807569823,87.91822286186047,1.9061293601989746
181,elasticnet,0.6751892656541292,0.001,389,574,4,906,147,7,3,11,0.0773735238633318,82.42644200519926,1.304673671722412
182,none,0.3961017771946085,0.0001,159,556,4,999,1000,7,2,8,0.0038567366058669286,1.908348999306111,0.5043346881866455
183,l1,0.8384629900607877,0.001,998,418,-1,831,193,10,5,8,0.050863895829331644,50.84866376198778,1.8120307922363281
184,l2,0.7006602417198378,0.0001,930,899,2,700,1152,8,2,11,0.03927303772701865,6.392235087658731,3.7085418701171875
185,elasticnet,0.5634396550613812,0.01,875,177,-1,802,676,8,5,10,0.09958620792583006,45.84785364946817,3.612759590148926
186,elasticnet,0.5880191539602052,0.0001,856,573,2,1029,306,8,2,7,0.015516411625137928,45.22485525830618,9.815907955169678
187,elasticnet,0.32667499375702597,0.01,427,128,4,913,572,6,3,10,0.03867852944414396,93.03721661076206,3.4090800285339355
188,l1,0.15805986621490398,0.01,782,26,-1,308,1192,3,5,6,0.013620028346648983,98.54425790884419,1.7116775512695312
189,l1,0.695892457449826,0.001,105,374,2,1058,549,7,3,7,0.008472213627560099,74.75214642115628,1.5047574043273926
190,l2,0.34933819925632675,0.01,907,329,4,164,779,7,2,7,0.020502178320654176,43.38737102107846,0.3030436038970947
191,none,0.10035576805598936,0.01,374,640,2,750,504,7,4,10,0.07847938720487135,14.619177372464364,0.9034280776977539
192,elasticnet,0.6235250136912234,0.0001,692,120,4,144,1206,5,3,8,0.09437394007287189,16.655688374471126,1.8065874576568604
193,l1,0.12251804173421839,0.0001,228,140,4,395,931,5,5,7,0.04606709140610225,48.40266842408117,1.0063190460205078
194,none,0.18819013051869302,0.01,876,414,2,776,717,9,3,10,0.02150673988079186,77.71206752389337,3.207613706588745
195,l2,0.4000904563301678,0.001,824,320,8,676,1199,6,5,8,0.09568902370285137,98.2237321184475,1.0061206817626953
196,l1,0.7950434147675838,0.0001,998,198,1,1358,323,2,5,8,0.07102989778605871,13.715509885471072,3.6605052947998047
197,none,0.17815513409420947,0.001,670,939,1,559,178,7,5,8,0.07360812446344987,25.235183139932015,0.7782354354858398
198,elasticnet,0.6150780459753127,0.001,435,286,8,769,347,9,5,12,0.0669126121159188,71.38287333796042,1.9073288440704346
199,none,0.6292445618431122,0.0001,781,974,1,703,1130,3,4,8,0.00479370202774675,99.6245157494206,2.2772810459136963
200,elasticnet,0.43981124252806236,0.0001,788,264,8,965,804,2,2,7,0.010796368111808896,17.304691100793562,4.2321617603302
201,none,0.38181673953432094,0.01,300,245,8,206,1341,7,2,8,0.03264228235937634,97.37769512803649,0.2058713436126709
202,none,0.1702093845288622,0.01,761,828,-1,1198,587,10,3,9,0.02056712770099589,62.06268403180113,1.210453748703003
203,elasticnet,0.7506880152633376,0.001,489,22,8,1026,252,3,4,8,0.07544834849183918,32.12973631380475,1.5060689449310303
204,l1,0.8591389931905178,0.0001,728,309,8,384,715,4,4,10,0.029505997525248674,61.25147046874223,1.3054633140563965
205,elasticnet,0.4295577522720547,0.001,884,330,-1,179,1382,3,5,10,0.0668309470904093,83.06208972371378,1.7083375453948975
206,l2,0.3348326267263804,0.0001,301,970,8,984,1299,6,4,8,0.03460422461749979,62.076830915760546,0.6061618328094482
207,none,0.16587356671576725,0.0001,536,966,4,1077,714,7,3,10,0.07479540450556216,65.29182937455289,1.1051642894744873
208,l2,0.4443395482743877,0.0001,436,901,8,1253,899,5,5,11,0.043947201381904936,38.525502120595085,0.7074253559112549
209,none,0.21420062856665423,0.01,836,843,-1,124,1364,2,5,7,0.024646386475930628,53.345859862140934,0.17374348640441895
210,l2,0.5131784596913458,0.001,441,590,8,659,892,7,5,10,0.02344259356858497,67.45860084880191,0.40451645851135254
211,none,0.12638957622863148,0.001,454,0,8,435,1088,6,4,10,0.08176526588622468,30.959532967566034,0.3041980266571045
212,none,0.8188461465074759,0.001,580,440,-1,1123,1304,5,4,9,0.09853672927430478,29.28440948403715,1.211944580078125
213,l1,0.29688791031094597,0.01,486,881,8,872,459,5,2,9,0.027269985955279564,88.40830746443774,1.4066367149353027
214,l1,0.7117987054728883,0.001,976,890,1,877,1239,7,4,8,0.0816200198024904,39.72143429830488,41.099969148635864
215,l1,0.827761686923248,0.001,790,634,4,1231,1119,5,4,8,0.08610066034887953,91.6388351520472,12.124454498291016
216,l1,0.32940324106634866,0.001,994,826,4,129,410,10,5,9,0.009375232873258688,35.42804590222989,1.0036897659301758
217,elasticnet,0.682297932035133,0.001,907,766,8,964,385,10,3,11,0.010855684028833412,45.595492829686876,5.414001941680908
218,none,0.2887290985025336,0.01,131,75,-1,546,909,9,2,8,0.05768657483675012,51.27452176520402,0.20639276504516602
219,elasticnet,0.8270556592617604,0.001,269,549,2,1172,505,2,2,9,0.0017068346111223653,19.63121977742078,1.0941917896270752
220,l1,0.6561880718714065,0.0001,125,866,8,643,1099,10,5,9,0.06992101848322292,69.20799547328843,1.106264591217041
221,l1,0.40872898008363956,0.01,162,58,2,1250,765,6,2,9,0.08967714034787568,51.0615680214618,3.009803056716919
222,l2,0.5067299102164502,0.01,929,902,1,1377,758,8,2,9,0.00625572075128349,33.014523300944475,9.905338764190674
223,l2,0.2789377639520625,0.0001,960,413,8,1192,878,8,2,7,0.014781465982586152,69.84434925256059,1.708986759185791
224,elasticnet,0.22678993681151668,0.001,844,441,2,1015,1108,9,4,9,0.08206703007227559,4.7196462697156445,29.54931640625
